タイトル,アーティスト名,ボーカル,最低,最高,備考
Circles,KIRA,GUMI,mid2B,hihiA,
Surges,orangester,IA,mid1F,hihiA,
Surges,orangester,初音ミク,mid2C,hiD
再会,はるまきごはん,初音ミク,mid1G#,hiG#,
再教育,Neru,鏡音リン,mid1F#,hiD#,
再教育,Neru,鏡音レン,mid2C,hiD#
サイノウサンプラー,電ポルP,初音ミク,mid2C#,hiC#,
サイバーパンクデッドボーイ,マイキP,初音ミク,mid2A#,hihiE,
サイハテ,小林オニキス,初音ミク,mid2B,hiB,サビでhiB連発。
桜前線異常ナシ,ワタルP,初音ミク,mid2D#,hihiC,
桜ノ雨,halyosy,初音ミク,mid1F#,hiD,
さっさかサレンダー,メドミア,初音ミク,mid2B,hiG#,
THE DYING MESSAGE,鬱P,鏡音リン,mid2C#,hiD#,鏡音リンの曲。デスヴォイスは調査対象外。
サッドガール・セックス,DECO*27,初音ミク,mid2B,hiD#,
サディスティック・ラブ,Junky,鏡音リン,mid2A,hiE,
The Beast.,スペクタクルP,初音ミク,mid1E,hiD,
サマータイムレコード,じん(自然の敵P),IA,mid1E,hiF#,
Summering,じん,初音ミク,mid1F#,hiD#,
ザムザ,てにをは,初音ミク,mid1G,hiF,
小夜子,みきとP,初音ミク,mid2A#,hiC,
サラマンダー,DECO*27,初音ミク,mid2D,hiF,
サリシノハラ,みきとP,初音ミク,mid1F,hiC#,
サルでもわかる,アゴアニキ,鏡音リン,mid1G#,hiC#,鏡音リンの曲。サビ「【サ】 {ルで}もわかる息のし{かた}」【hiC#】{hiB}
懺悔参り,羽生まゐご,flower,mid2A,hihiB,
サンドリヨン,シグナルP,初音ミク,mid2A,hiG,
サンドリヨン,シグナルP,KAITO,mid1D,hiA
ジェニ,¿?,flower,mid2F,hihiA#,
ジェヘナ,wotaku,初音ミク,mid1G,hiG#,
しかばねの踊り,きくお,初音ミク,mid2A#,hiF#,
シザーハンズ,Nem,初音ミク,mid2B,hiG,
シスターセクトルージュ,nyanyannya,巡音ルカ,mid1F,hihiA#,
CITRUS,Orangestar,IA,mid1F,hiG,
CITRUS,Orangestar,ONE,mid1F,hiG#
シニカルナイトプラン,Ayase,初音ミク,mid1E,hiF#,
シネマ,Ayase,初音ミク,mid2A,hihiD#,
Just Be Friends,Dixie Flatline,巡音ルカ,mid2A,hiG,
終末じゃない,ぬゆり,flower,mid2D#,hiF,
終末じゃない,ぬゆり,心華,mid2D#,hiF
少年ブレイヴ,じん(自然の敵P),IA,mid1D,hiD,
ジャックポットサッドガール,syudou,初音ミク,mid2B,hihiD,
Shadow Shadow,Azari,flower,mid2D#,hiF#,
